,Station,Total Sessions,Address,Distance To Freeway (in miles),Latitude,Longitude
157,AUI-10363,4,"8800 S Hoover St, Los Angeles, CA",5.912155300492918,33.957833,-118.286859
158,AUI-10390,29,"9889 Beachy Ave, Los Angeles, CA",15.217421906186042,34.2504596,-118.4408986
159,AUI-10385,4,"10645 Glenoaks Blvd, Los Angeles, CA",15.852974075749536,34.2220068,-118.3587239
160,AUI-10377,14,"2044 Reservoir St, Los Angeles, CA",6.105218517703221,34.0787117,-118.2620505
161,AUI-10352,12,"7178 Tujunga Ave, Los Angeles, CA",10.088532928019639,34.1567202,-118.3793992
162,AUI-10383,81,"11169 Weddington St, Los Angeles, CA",9.898060886573996,34.167077,-118.37479
163,AUI-10367,4,"5441 E Valley Blvd, Los Angeles, CA",7.362369747365942,34.0746651,-118.1620235
164,AUI-10365,4,"8935 Mason Ave, Los Angeles, CA",21.802412832970184,34.2757672,-118.5785889
165,AUI-10379,48,"10949 Huston St, Los Angeles, CA",9.286388821594496,34.159998,-118.36913
166,AUI-10391,6,"10517 San Fernando Rd, Los Angeles, CA",15.687855025813304,34.2976875,-118.4572632
167,AUI-10381,15,"11185 Hindry Ave, Los Angeles, CA",4.61327766140895,33.9334464,-118.3724502
168,AUI-10357,3,"10634 Valparaiso St, Los Angeles, CA",5.60932632173809,34.0296114,-118.4149386
169,AUI-10340,30,"4240 Fulton Ave, Los Angeles, CA",11.020756085299787,34.1477572,-118.4224021
170,AUI-10344,12,"4236 Longridge Ave, Los Angeles, CA",10.807448081836045,34.1469917,-118.4211547
171,AUI-10384,20,"7123 Tampa Ave, Los Angeles, CA",13.021988632051833,34.187815,-118.553507
172,AUI-10358,15,"13214 Moorpark St, Los Angeles, CA",10.807448081836045,34.1502745,-118.4208655
173,AUI-10361,14,"11048 Huston St, Los Angeles, CA",9.317074095413139,34.1600105,-118.3711653
174,AUI-10362,8,"998 S Hobart Blvd, Los Angeles, CA",1.7856585320889966,34.052721,-118.30513
175,AUI-10359,2,"10919 S Figueroa St, Los Angeles, CA",4.333691429007996,33.8815415,-118.2825779
176,AUI-10261,136,"729 N North Spring St, Los Angeles, CA",2.4937608736791583,34.060443,-118.237722
