Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="2ac1b52d-67a9-494b-b7d3-f1f775b12a2a",="AUI-10227","49","245:58","89.72","USD","483.443",="FLO | EVC285 | SLID 132049 | 19135 W Victory Blvd"
="e3e9f199-fd5f-4d16-b293-b0a7be5d02f1",="AUI-10235","102","260:23","246.43","USD","1462.296",="FLO | EVC287 | SLID 166286 | 12387 W Osborne St"
="56141117-98b6-4e32-95e2-fa2b5e088585",="AUI-10206","108","259:11","199.01","USD","1055.438",="FLO | EVC291 | SLID 199912 | 6765 W Foothill Blvd"
="e952d6e5-4ca6-4419-8b89-ed8462d15286",="AUI-10266","25","32:46","43.81","USD","186.468",="FLO | EVC293 | SLID 152646 | 12518 W Oxnard St"
="29366134-66b3-4955-9c9c-f6f41ae3cd39",="AUI-10264","45","82:41","74.99","USD","360.141",="FLO | EVC294 | SLID 141079 | 12728 W Sherman Way"
="c32f876a-c731-4911-91c4-64985cad26a3",="AUI-10229","121","346:09","109.57","USD","2017.355",="FLO | EVC295 | SLID 162464 | 15596 W Roxford St"
="faf41cbc-22cf-45c1-afdb-5024e177741e",="AUI-10247","25","65:38","2.08","USD","393.226",="FLO | EVC298 | SLID 128310 | 13194 W Sherman Way"
="28ee7267-cad9-4738-8760-5cc6e9993654",="AUI-10251","96","258:10","106.31","USD","1318.231",="FLO | EVC299 | SLID 200848 | 1348 Abbot Kinney Blvd"
="a5e5e5fa-8f92-4340-a9dd-74987f81f9ed",="AUI-10267","12","27:49","6.58","USD","76.58",="FLO | EVC300 | SLID 145314 | 13629 W Sherman Way"
="23f956c5-27e3-4a7a-9fc4-ea48cf091999",="AUI-10249","126","440:55","212.56","USD","1887.829",="FLO | EVC301 | SLID 179357 | 3773 Motor Ave"
="d99e86b4-4300-459d-ad97-d868b2d49ec8",="AUI-10236","18","45:07","84.45","USD","165.544",="FLO | EVC304 | SLID 35423 | 840 Imperial Hwy"
="22f79341-5ba8-4f7c-9777-2a644875b5d8",="AUI-10233","111","188:55","262.68","USD","1119.677",="FLO | EVC305 | SLID 77851 | 4121 Valley Blvd"
