,Station,Total Sessions,Address,Latitude,Longitude,num_pois_nearby
129,AUI-10327,2,"948 E Vernon Ave, Los Angeles, CA",34.0037883,-118.2591613,33
130,AUI-10332,97,"923 E 3rd St, Los Angeles, CA",34.0463078,-118.2341624,89
131,AUI-10350,65,"9850 Exposition Blvd, Los Angeles, CA",34.0288099,-118.4027129,62
132,AUI-10346,5,"1757 S Robertson Blvd, Los Angeles, CA",34.04769829999999,-118.3860416,36
133,AUI-10360,12,"2411 N Thomas Street, Los Angeles, CA",34.0740651,-118.2053002,42
134,AUI-10334,26,"176 S Virgil Ave, Los Angeles, CA",34.0712476,-118.28635,59
135,AUI-10304,16,"3619 Regal Pl, Los Angeles, CA",34.13395,-118.3632699,53
136,AUI-10370,14,"18744 Parthenia St, Los Angeles, CA",34.2278025,-118.5420773,33
137,AUI-10343,27,"21021 Devonshire St, Los Angeles, CA",34.2574949,-118.5916991,33
138,AUI-10368,10,"6945 Sepulveda Blvd, Los Angeles, CA",33.9742777,-118.394348,33
139,AUI-10354,16,"838 S Barrington Ave, Los Angeles, CA",34.0544555,-118.466163,63
140,AUI-10375,62,"4294 Coldwater Canyon Ave, Los Angeles, CA",34.1479032,-118.4135263,43
141,AUI-10380,57,"4319 Whitsett Ave, Los Angeles, CA",34.14920499999999,-118.4054894,55
142,AUI-10373,4,"15450 Plummer St, Los Angeles, CA",34.2423921,-118.4691955,27
143,AUI-10349,4,"11175 Glenoaks Blvd, Los Angeles, CA",34.273071400000006,-118.4114497,28
144,AUI-10347,7,"9776 S Sepulveda Blvd, Los Angeles, CA",33.9474756,-118.3957034,47
145,AUI-10355,17,"8932 Woodman Ave, Los Angeles, CA",34.232175700000006,-118.4378409,28
146,AUI-10351,46,"17415 Vanowen St, Los Angeles, CA",34.19388989999999,-118.5124217,26
147,AUI-10341,8,"4349 E Valley Blvd, Los Angeles, CA",34.063514,-118.19118,26
148,AUI-10337,29,"1751 Westwood Blvd, Los Angeles, CA",34.051089399999995,-118.4385126,78
149,AUI-10378,95,"6959 Esplanade St, Los Angeles, CA",33.958586700000005,-118.4492361,41
150,AUI-10366,7,"1248 Westwood Blvd, Los Angeles, CA",34.05788870000001,-118.4431004,92
151,AUI-10336,80,"4839 Laurel Canyon Blvd, Los Angeles, CA",34.15887379999999,-118.3968676,36
152,AUI-10376,2,"7428 S Sepulveda Blvd, Los Angeles, CA",33.9731993,-118.3948075,28
153,AUI-10382,21,"10654 W Magnolia Blvd, Los Angeles, CA",34.1648054,-118.36349640000002,50
154,AUI-10364,5,"6040 Jefferson Blvd, Los Angeles, CA",34.02042369999999,-118.380283,37
155,AUI-10389,15,"5263 Packard, Los Angeles, CA",34.0507581,-118.3511493,34
156,AUI-10388,8,"9818 Reseda Blvd, Los Angeles, CA",34.249297,-118.535973,31
157,AUI-10363,4,"8800 S Hoover St, Los Angeles, CA",33.9572904,-118.2863728,34
158,AUI-10390,29,"9889 Beachy Ave, Los Angeles, CA",34.251165,-118.4415257,18
159,AUI-10385,4,"10645 Glenoaks Blvd, Los Angeles, CA",34.262751,-118.40008,20
160,AUI-10377,14,"2044 Reservoir St, Los Angeles, CA",34.07873,-118.262088,53
161,AUI-10352,12,"7178 Tujunga Ave, Los Angeles, CA",34.200786,-118.37893400000002,25
162,AUI-10383,81,"11169 Weddington St, Los Angeles, CA",34.1670008,-118.3748155,56
163,AUI-10367,4,"5441 E Valley Blvd, Los Angeles, CA",34.074090000000005,-118.164775,24
164,AUI-10365,4,"8935 Mason Ave, Los Angeles, CA",34.23246719999999,-118.5798093,26
165,AUI-10379,48,"10949 Huston St, Los Angeles, CA",34.15992720000001,-118.3697512,63
166,AUI-10391,6,"10517 San Fernando Rd, Los Angeles, CA",34.26105,-118.417258,25
167,AUI-10381,15,"11185 Hindry Ave, Los Angeles, CA",33.9333653,-118.37237240000002,8
168,AUI-10357,3,"10634 Valparaiso St, Los Angeles, CA",34.0296115,-118.4149102,36
169,AUI-10340,30,"4240 Fulton Ave, Los Angeles, CA",34.1478861,-118.4222236,42
170,AUI-10344,12,"4236 Longridge Ave, Los Angeles, CA",34.1474861,-118.42091440000002,44
171,AUI-10384,20,"7123 Tampa Ave, Los Angeles, CA",34.1998776,-118.5537878,24
172,AUI-10358,15,"13214 Moorpark St, Los Angeles, CA",34.1500812,-118.4208748,42
173,AUI-10361,14,"11048 Huston St, Los Angeles, CA",34.1601042,-118.3711679,63
174,AUI-10362,8,"998 S Hobart Blvd, Los Angeles, CA",34.05281000000001,-118.30517,94
175,AUI-10359,2,"10919 S Figueroa St, Los Angeles, CA",33.9368695,-118.282841,26
176,AUI-10261,136,"729 N North Spring St, Los Angeles, CA",34.06047,-118.237689,103
177,,7452,101-115 E 4th St,34.047855,-118.246849,137
178,,3880,6501 Fountain Ave,34.094383,-118.330582,101
179,,3785,5501 Vineland Ave,34.170437,-118.370491,55
180,,3344,4849 Laurel Canyon Blvd,34.159138,-118.39666,37
181,,1964,3016 Washington Blvd,33.989296,-118.450363,64
182,,1933,615 W Jefferson Blvd,34.022369,-118.280716,74
183,,1932,2260 W Washington Blvd,34.039841,-118.311081,40
184,,1809,3856 Crenshaw Blvd,34.015724,-118.334976,45
185,,1578,560 Hilgard Ave,34.070549,-118.438576,40
