,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles)
163,163,AUI-10367,4,"5441 E Valley Blvd, Los Angeles, CA",34.074090000000005,-118.164775,1.3671740842319982
164,164,AUI-10365,4,"8935 Mason Ave, Los Angeles, CA",34.23246719999999,-118.5798093,1.812480626804307
165,165,AUI-10379,48,"10949 Huston St, Los Angeles, CA",34.159927200000006,-118.36975120000001,5.4399802084786115
166,166,AUI-10391,6,"10517 San Fernando Rd, Los Angeles, CA",34.26105,-118.417258,2.6000330660270743
167,167,AUI-10381,15,"11185 Hindry Ave, Los Angeles, CA",33.9333653,-118.37237240000002,1.2862390836403155
168,168,AUI-10357,3,"10634 Valparaiso St, Los Angeles, CA",34.0296115,-118.4149102,1.3806502914858365
169,169,AUI-10340,30,"4240 Fulton Ave, Los Angeles, CA",34.1478861,-118.42222360000001,1.3707003709133267
170,170,AUI-10344,12,"4236 Longridge Ave, Los Angeles, CA",34.1474861,-118.42091440000002,1.692765492495248
171,171,AUI-10384,20,"7123 Tampa Ave, Los Angeles, CA",34.1998776,-118.55378780000001,4.095680486265488
172,172,AUI-10358,15,"13214 Moorpark St, Los Angeles, CA",34.1500812,-118.42087479999999,1.6479050240339042
173,173,AUI-10361,14,"11048 Huston St, Los Angeles, CA",34.1601042,-118.3711679,1.1563953709528285
174,174,AUI-10362,8,"998 S Hobart Blvd, Los Angeles, CA",34.05281000000001,-118.30516999999999,1.80297448761642
175,175,AUI-10359,2,"10919 S Figueroa St, Los Angeles, CA",33.9368695,-118.28284099999999,1.3402904344247735
176,176,AUI-10261,136,"729 N North Spring St, Los Angeles, CA",34.06047,-118.23768899999999,1.5447096912550544
